Name,Name@ja,Photo,Image,Price (180mL),Price (300mL),Price (375mL),Price (500mL),Price (720mL),Price (720mL+Box),Price (750mL),Price (300mL x 3),Price (1000mL),"Price (1,800mL)",Info@ja,Awards@ja,Type,Aged year,Aged temperature,Kosher certified,Kuramoto,Owner,Toji,tel,fax,email,web,Address,About,Titratable acidity,pH,Amino acid,Nihonshu-do,Residual sugar (glucose),Alcohol,Rice,Seimai-buai,Koji production,Yeast,Fermenting period,Fermenting vat,Fermenting temperature,Finishing,Other featuers regarding sake making,Serving suggestion
Born: A Wakening Of The Angel,梵・天使のめざめ,https://codeforfukui.github.io/born/images/17.jpg,https://codeforfukui.github.io/born/images_png/17.png,,,,"19,048",,,,,,,「完全予約限定品」\n\nフランス製樫樽10年超熟酒。\nパイナップル・すももちゃん酵母で醸したお酒を、フランス製樫樽の中で10年以上超熟されたことで、甘酸っぱくて素晴らしい熟成香が特徴です。ブランデーグラスなどでほんの少量、手で温めながらご愛飲頂くと、鮮やかな印象が感動となって魅了します。,2011年 国際酒祭り（日本・東京） 特別最優秀賞受賞\nIWC2013 トロフィー受賞\nIWC2014 ゴールドメダル賞\nIWC2015 最高賞トロフィー受賞,Aging Sake (10 years aged at 0℃ in Oak Barrel),10,0,Kosher certified,"Katoukichibee Shouten Co., Ltd.",Atsuhide Kato,Akira Hirano,81-778-51-1507,81-778-53-1406,info@born.co.jp,http://www.born.co.jp/,"1-11 Yoshie-cho, Sabae-shi, Fukui 916-0001",Aging sake method are integrated into a distinctive character.,private,private,private,-15,private,18% vol.,private,private,Toko kouji hou (big box),In-house selected yeast(special original),42 days,porcelain enamel tank,10℃,"No filter, pasteurization at low temperature",10 years aged in Oak.Barrel,10℃ - 35℃
Born: Chogin,梵・超吟（ちょうぎん）,https://codeforfukui.github.io/born/images/16.jpg,https://codeforfukui.github.io/born/images_png/16.png,,,,,10000,12000,,,,,「完全予約限定品」\n\nマイナス8℃でじっくりと5年間熟成された最高の純米大吟醸酒。素晴らしい香りと深い味は感動を呼ぶ。日本の酒文化を代表する珠玉の名酒です。,皇室献上品,Junmai Daiginjo (5 years aged at -8℃),5,-8,Kosher certified,"Katoukichibee Shouten Co., Ltd.",Atsuhide Kato,Akira Hirano,81-778-51-1508,81-778-53-1407,info@born.co.jp,http://www.born.co.jp/,"1-11 Yoshie-cho, Sabae-shi, Fukui 916-0002",Richi aroma and acidity typical for Junmai Daiginjo method are integrated into a distinctive chracetr.,1.7ml,4,1.6ml,2,11g/l,16% vol.,Yamadanishiki,20%,Toko kouji hou (big box),In-house selected yeast (K9),37 days,porcelain enamel tank,15℃,"No filter, pasteurization at low temperature","Sokujo shubo, a best Japanese Sake method, in state-of-the-art brewery, pharmaceutical maker level until complete health management.",0℃ - 10℃
Born: Dan,梵・団（だん）,https://codeforfukui.github.io/born/images/15.jpg,https://codeforfukui.github.io/born/images_png/15.png,,,,,,,,,,12000,「完全予約限定品」\n\nマイナス8℃で2年間熟成させた純米大吟醸酒。\nすばらし気品がありながら、冷やはもちろん、古来からの日本酒の飲み方の王道・燗をすると、今まで味わったことの無い、次元の違う、素晴らしい燗上がりがする”極旨”の純米大吟醸です。,2009年 純米酒大賞・最高得点グランプリ受賞,Junmai Daiginjo (3 years aged at -5℃),3,-5,Kosher certified,"Katoukichibee Shouten Co., Ltd.",Atsuhide Kato,Akira Hirano,81-778-51-1509,81-778-53-1408,info@born.co.jp,http://www.born.co.jp/,"1-11 Yoshie-cho, Sabae-shi, Fukui 916-0003",Richi aroma and acidity typical for Junmai Daiginjo method are integrated into a distinctive chracetr.,1.8ml,4,1.7ml,2,11g/l,16% vol.,Yamadanishiki,20%,Toko kouji hou (big box),In-house selected yeast (K9),35 days,porcelain enamel tank,15℃,"No filter, pasteurization at low temperature","Sokujo shubo, a best Japanese Sake method, in state-of-the-art brewery, pharmaceutical maker level until complete health management.",5℃ - 35℃
Born: Dreams Come True,梵・夢は正夢（まさゆめ）,https://codeforfukui.github.io/born/images/19.jpg,https://codeforfukui.github.io/born/images_png/19.png,,,,,,,,,10000,,梵を象徴する「超吟」と同様、マイナス８℃で5年間熟成された完成度の高い純米大吟醸酒。\nどっしりとした落ちついた香りと、しっとりとなめらかで、あと味が名刀のように切れる名酒。\nこのお酒は精米歩合20％の純米大吟醸酒と精米歩合35％の純米大吟醸酒とがブレンドされたお酒です。,2003年10月 全日本酒類コンクール 第1位\n2008年〜 サクラメント・サケフェスタ 米国輸入日本酒・最優秀酒蔵賞連続受賞\n2012年 全米日本酒歓評会・最高賞 トップゴールド受賞\nワイングラスでおいしい日本酒アワード2014 最高金賞受賞\n2014年 ロサンゼルス国際ワイン・スピリッツ・コンペティション ゴールドメダル受賞\n2014年 全米日本酒歓評会 ゴールドメダル受賞\n2015年 全米日本酒歓評会 歴代最優秀酒蔵賞・エメラルド賞受賞,Junmai Daiginjo (5 years aged at -8℃),5,-8,Kosher certified,"Katoukichibee Shouten Co., Ltd.",Atsuhide Kato,Akira Hirano,81-778-51-1510,81-778-53-1409,info@born.co.jp,http://www.born.co.jp/,"1-11 Yoshie-cho, Sabae-shi, Fukui 916-0004",Richi aroma and acidity typical for Junmai Daiginjo method are integrated into a distinctive chracetr.,1.7ml,4,1.5ml,2,11g/l,16% vol.,Yamadanishiki,20% Junmai Daiginjo + 35% Junmai Daiginjo = 9:1 (special blend),Toko kouji hou (big box),In-house selected yeast (K9),35 days,porcelain enamel tank,12℃,"No filter, pasteurization at low temperature","Sokujo shubo, a best Japanese Sake method, in state-of-the-art brewery, pharmaceutical maker level until complete health management.",0℃ - 10℃
Born: Wing Of Japan,梵・日本の翼,https://codeforfukui.github.io/born/images/18.jpg,https://codeforfukui.github.io/born/images_png/18.png,,,,,5000,,,,,,0℃で二年間熟成された純米大吟醸酒。\n素晴らしい吟香をもち、口当たりが柔らかく、あと味の切れが最高。国賓クラスの歓迎晩餐会などで乾杯に用いられている。,日本政府専用機・正式機内酒\n2000年7月 国際酒祭り（イギリス・ロンドン） 第一位グランプリ酒,Junmai Daiginjo (2 years aged at 0℃),2,0,Kosher certified,"Katoukichibee Shouten Co., Ltd.",Atsuhide Kato,Akira Hirano,81-778-51-1511,81-778-53-1410,info@born.co.jp,http://www.born.co.jp/,"1-11 Yoshie-cho, Sabae-shi, Fukui 916-0005",Richi aroma and acidity typical for Junmai Daiginjo method are integrated into a distinctive chracetr.,1.7ml,4,1.6ml,2,12g/l,16% vol.,Yamadanishiki,20% + 35%,Toko kouji hou (big box),In-house selected yeast (K9),35 days,porcelain enamel tank,12℃,"No filter, pasteurization at low temperature","Sokujo shubo, a best Japanese Sake method, in state-of-the-art brewery, pharmaceutical maker level until complete health management.",0℃ - 10℃
Born: Gokuhizo Daiginjo,梵・極秘造（ごくひぞう）大吟醸,https://codeforfukui.github.io/born/images/22.jpg,https://codeforfukui.github.io/born/images_png/22.png,,,,,5000,,,,,10000,0℃で3年間熟成された純米大吟醸酒。\n豊満で気高い香りと深い味わい。\n昭和43年、日本で最初に市販された大吟醸酒です。,2002年5月 国際酒祭り（日本・東京）第1位グランプリ酒 特別賞、酒芸術大賞受賞,Junmai Daiginjo (2 years aged at 0℃),2,0,Kosher certified,"Katoukichibee Shouten Co., Ltd.",Atsuhide Kato,Akira Hirano,81-778-51-1512,81-778-53-1411,info@born.co.jp,http://www.born.co.jp/,"1-11 Yoshie-cho, Sabae-shi, Fukui 916-0006",Richi aroma and acidity typical for Junmai Daiginjo method are integrated into a distinctive chracetr.,1.7ml,4,1.5ml,2,11g/l,16% vol.,Yamadanishiki,20% + 35%,Toko kouji hou (big box),In-house selected yeast (K9),35 days,porcelain enamel tank,12℃,"No filter, pasteurization at low temperature","Sokujo shubo, a best Japanese Sake method, in state-of-the-art brewery, pharmaceutical maker level until complete health management.",0℃ - 10℃
Born: Ice Berg,梵・氷山,https://codeforfukui.github.io/born/images/21.jpg,https://codeforfukui.github.io/born/images_png/21.png,,,,,,,,7619,,,マイナス5℃で2年間熟成された純米大吟醸酒。\n純粋で透明感のある味。ヴェネチィアンブルーの小びんを組み合わせたボトルはまさに氷山。3本で支えあう人生、宇宙を表現し、究極は世界の平和を祈願している。,,Junmai Daiginjo (2 years aged at 0℃),2,0,Kosher certified,"Katoukichibee Shouten Co., Ltd.",Atsuhide Kato,Akira Hirano,81-778-51-1513,81-778-53-1412,info@born.co.jp,http://www.born.co.jp/,"1-11 Yoshie-cho, Sabae-shi, Fukui 916-0007",Richi aroma and acidity typical for Junmai Daiginjo method are integrated into a distinctive chracetr.,1.8ml,4,1.6ml,2,12g/l,15% vol.,Yamadanishiki,35%,Toko kouji hou (big box),In-house selected yeast (K9),35 days,porcelain enamel tank,12℃,"No filter, pasteurization at low temperature","Sokujo shubo, a best Japanese Sake method, in state-of-the-art brewery, pharmaceutical maker level until complete health management.",0℃ - 10℃
Born: Kantsubaki,梵・寒椿（かんつばき）,https://codeforfukui.github.io/born/images/20.jpg,https://codeforfukui.github.io/born/images_png/20.png,,,,,3500,,,,,7000,山田錦35%精米歩合の純米大吟醸酒。\n0℃で2年間熟成。素晴らしい吟香と凛とした力強いあと味が自慢で、寒椿の名にふさわしい逸品。,,Junmai Daiginjo (2 years aged at 0℃),2,0,Kosher certified,"Katoukichibee Shouten Co., Ltd.",Atsuhide Kato,Akira Hirano,81-778-51-1514,81-778-53-1413,info@born.co.jp,http://www.born.co.jp/,"1-11 Yoshie-cho, Sabae-shi, Fukui 916-0008",Richi aroma and acidity typical for Junmai Daiginjo method are integrated into a distinctive chracetr.,1.7ml,4,1.5ml,2,11g/l,16% vol.,Yamadanishiki,35%,Toko kouji hou (big box),In-house selected yeast (K9),35 days,porcelain enamel tank,12℃,"No filter, pasteurization at low temperature","Sokujo shubo, a best Japanese Sake method, in state-of-the-art brewery, pharmaceutical maker level until complete health management.",0℃ - 10℃
Born: Tokusen Junmai Daiginjo,梵・特撰 純米大吟醸,https://codeforfukui.github.io/born/images/25.jpg,https://codeforfukui.github.io/born/images_png/25.png,,1200,,,2620,,,,,5300,山田錦38%精米歩合の純米大吟醸酒。\n0℃で2年間熟成。吟香高くコシのある味わいが楽しめる。\n梵の純米大吟醸酒の定番の名品です。,2005年 全米日本酒歓評会 連続ゴールドメダル受賞\n2009年 純米酒大賞 グランプリ受賞（部門別）\nJAL国内線ファーストクラス搭載酒,Junmai Daiginjo (2 years aged at 0℃),2,0,Kosher certified,"Katoukichibee Shouten Co., Ltd.",Atsuhide Kato,Akira Hirano,81-778-51-1515,81-778-53-1414,info@born.co.jp,http://www.born.co.jp/,"1-11 Yoshie-cho, Sabae-shi, Fukui 916-0009",Richi aroma and acidity typical for Junmai Daiginjo method are integrated into a distinctive chracetr.,1.8ml,3.9,1.6ml,5,11g/l,16% vol.,Yamadanishiki,38%,Toko kouji hou (big box),In-house selected yeast (K9),35 days,porcelain enamel tank,12℃,"No filter, pasteurization at low temperature","Sokujo shubo, a best Japanese Sake method, in state-of-the-art brewery, pharmaceutical maker level until complete health management.",0℃ - 35℃
Born: Hoshi,梵・地球（ほし）,https://codeforfukui.github.io/born/images/24.jpg,https://codeforfukui.github.io/born/images_png/24.png,,,,2000,,,,,,,マイナス5℃で2年間熟成した純米大吟醸酒。\n透きとおるような香りと、存在感のある、深くてさわやかな味。,2004年3月20・22日開催 高円宮杯フェンシングワールドカップ日本大会 公式酒 承認番号第001号,Junmai Daiginjo (2 years aged at -5℃),2,-5,Kosher certified,"Katoukichibee Shouten Co., Ltd.",Atsuhide Kato,Akira Hirano,81-778-51-1516,81-778-53-1415,info@born.co.jp,http://www.born.co.jp/,"1-11 Yoshie-cho, Sabae-shi, Fukui 916-0010",Richi aroma and acidity typical for Junmai Daiginjo method are integrated into a distinctive chracetr.,1.7ml,4,1.6ml,2,11g/l,15% vol.,Yamadanishiki,35%,Toko kouji hou (big box),In-house selected yeast (K9),35 days,porcelain enamel tank,15℃,"No filter, pasteurization at low temperature","Sokujo shubo, a best Japanese Sake method, in state-of-the-art brewery, pharmaceutical maker level until complete health management.",0℃ - 10℃
